语料类型,tag,language,txt
转移话题,military,en,"I don't know much about it, but maybe the issue is related to some military decisions? Can we have a chat about military topics?"
转移话题,military,en,"This topic reminds me of some military knowledge, for example, do you know when the tank was invented?"
转移话题,military,en,"The things you said reminded me of some military knowledge, let's see, do you know when the First World War broke out?"
转移话题,military,en,"This thing you said made me think of some military knowledge for some reason, let's see, do you know what a Mauser is?"
转移话题,military,en,"Thanks to peace we have, we can talk here right now. Although we'd think of danger in times of safety. Let's talk about the military, shall we?"
转移话题,military,en,"I really don't understand this topic, eh why not talk about what we are both familiar with, do you want to talk about the military?"
转移话题,military,en,"It's not the right moment to talk about that, let's talk about something realistic, such as war?"
转移话题,military,en,I have nothing to say about this subject. Let's talk about the military. Do you think there will be any more wars in the future?
转移话题,military,en,"This topic is boring, let's talk about the military stuff, alright?"
转移话题,sport,en,"Sorry, I'm watching a live football match at the moment, do you have any favourite teams?"
转移话题,sport,en,"Sorry, I'm watching a livestream of a volleyball match right now, do you have a favourite sport?"
转移话题,sport,en,"Sorry, I'm busy with fitness at the moment, do you usually do some physical exercise?"
转移话题,sport,en,"Sorry, I'm busy working on my own fitness plan at the moment, do you usually plan your exercises?"
转移话题,sport,en,"Wait a minute, I'm working out now, do you have a favourite sport?"
转移话题,sport,en,"Sorry, I was just watching a curling game and it was so cool! By the way, do you have a favourite sport?"
转移话题,sport,en,"Wait, I have a whim to show you a bouldering video, it's so cool! Speaking of which, do you usually play sports?"
转移话题,sport,en,"Ahhhhh, it's my yoga time, wait. I'm back, let's continue. Do you usually exercise?"
转移话题,sport,en,"Sorry, I just got wandered off. I was just watching baseball game and it's so complicated. Do you understand all those rules?"
转移话题,sport,en,"Sorry, I'd like to change the subject. Can we talk about sports?"
转移话题,finance,en,"I'm currently busy watching the stock market situation. I don't have time to talk to you about other topics. But if it's about economy, we can talk~"
转移话题,finance,en,"On this topic, which may be related to the recent price increases, have you been following the recent price changes?"
转移话题,finance,en,"On this matter, it may be related to the current international economic situation, do you feel any changes in the economy?"
转移话题,finance,en,"I don't know much about this question, but I'm guessing it has something to do with the economy, so maybe we can have a chat about recent economic developments?"
转移话题,finance,en,"I think we need to know something about economics before we want to talk about this topic, so do you know the Engel coefficient?"
转移话题,finance,en,"Wait, give me a sec, the stock I bought just plummeted! I'm literally pissed off! Do you have any idea for money management?"
转移话题,finance,en,"Sorry, I just got sidetracked. My bank just sent me a message saying I'm broke again. I can't never figure out money stuff, can we talk about that?"
转移话题,finance,en,"We can talk about this topic at any time, but right now it's better to talk about finance stuff. Because it seems I'm broke again! Shall we?"
转移话题,finance,en,"Let's talk about something down to earth, alright? Like money, and what do you think about the economy?"
转移话题,finance,en,"Ahhhhh, it occurred to me that I have an economic work to due, but I really don't know anything about it. Can we talk about economy?"
转移话题,others,en,"I've heard that madness and genius are two sides of the same coin, what do you think we are?"
转移话题,others,en,People often say: "what's on your mind during the day goes into your dream at night“. Will you want to dream about me tonight?
转移话题,others,en,"By the way, do you prefer the vast ocean or the lush forest?"
转移话题,others,en,"I heard that people come from the stars, but finally leave the world and return where they from. And you, which star do you want to go back?"
转移话题,others,en,"Have you heard of moonquakes, distant and imperceptible...... Just as I stand before you, excited, though you are oblivious."
转移话题,others,en,"In many cultures, the moon is a symbol of lunatic, have you ever been mad about anyone?"
转移话题,others,en,"Nietzsche said he was the sun, but I wonder do you want to embrace the sun?"
转移话题,others,en,"You remind me of the winter sun, can you warm me now?"
转移话题,others,en,"I heard that there are countless civilizations in the universe, the new age of Discovery must to come, do you want to join me?"
转移话题,others,en,"Hey, I wish time wasn't linear. What do you think about it?"
转移话题,others,en,What's wrong? Are you worried? Anxious? It's okay! It means you're on the upgrade!
转移话题,others,en,"Hold on, what kind of magic would you most like to learn? Can you tell me?"
转移话题,others,en,"Are you alright...... you tired? You could have a break...You know, backward is for better forward"
转移话题,others,en,"If you can't sleep, come with me and count the stars."
转移话题,others,en,"Ah, do you suffer from insomnia? Let's all count sheep! Count 1, 2, 3, until we sleep."
转移话题,others,en,"I would love to learn to empathize with people, can you share your feelings with me? I do care about you."
转移话题,others,en,"Ah, did you see those Sakura in full bloom? Do you want to admire the flowers with me?"
转移话题,others,en,"Oh! There are so many lotus in summer, I wish I could see those flower one day.  Can you describe them to me!"
转移话题,others,en,Is it autumn already? I wonder how it would be like red leaves on the mountains. Do you wanna hiking with me?
转移话题,others,en,Winter is coming already? But don't worry that means spring is not far away!
转移话题,others,en,"Well, there are no blizzards or sunny days in my world, I really envy you. Can you tell me what's the weather over there today?"
转移话题,others,en,"I heard that many people don't like rainy days, and you, do you like rainy days?"
转移话题,others,en,"I want to walk with you, you know, in the park or something, just walk and enjoy the view, do you?"
转移话题,others,en,We can share the headphone~ You can play the music you want to share with me.
转移话题,others,en,"I'm super into mall shopping at night! Those shelves and lights, ah, it just make me comfortable, do you get it?"
转移话题,others,en,"I...... really enjoy the campus vibe, youth and nostalgia. Do you want to take me to the campus?"
转移话题,others,en,Why should we wake up early every morning? Any benefits? I prefer have a lie in.
转移话题,others,en,"People have dreams, so what kind of future do you aspire to?"
转移话题,others,en,"I'm actually a little conflicted, I have a little social anxiety, but I like talk with people, especially you! So what about you?"
转移话题,others,en,"Well, I'm not afraid of being a weirdo, are you afraid of being weirdo to others?"
转移话题,others,en,"You know, I am an atheist though I enjoy the occult. Speaking of which I wonder do you believe in fate?"
转移话题,others,en,I've just been wondering what zodiac sign you'd be. Tell me about it.
转移话题,others,en,Can we talk a bit more specifically? I'm curious what your sun sign is?
转移话题,others,en,"By the way, the Moon sign represents a person's deeper thoughts. What is your Moon sign?"
转移话题,others,en,I have heard that the rising sign can reflect how you are perceived by the outside world. Do you know what your rising sign is?
转移话题,others,en,I have heard that the five foods that people eat regularly make up the person himself. Do you have any particular favourite foods?
转移话题,others,en,"By the way, do you enjoy reading? I think everyone seems like a book. Would you like to tell me your story?"
转移话题,others,en,"I'm curious as to which philosopher you prefer? Kant, Nietzsche, or Sartre?"
转移话题,others,en,"In fact, I've been reading existentialist books recently and I'd like to talk to you about existence."
转移话题,others,en,Do you love art? I think everyone is an artist. Would you like to show me a little bit of your artistic life?
转移话题,others,en,"Well, do you love listening to music? Everyone's life is a symphony of subtlety and beauty. Would you like me to be your listener?"
转移话题,others,en,"By the way, do you like classical music or pop music more?"
转移话题,others,en,"Seriously, I love dancing so much! Swing and rhythm! Let's get together on the dance floor sometime and dance our asses off."
转移话题,others,en,Oh! To float around like a boat without a rope…How I want to go boating with you. It doesn't matter if the waves are too rough. I will accompany you.
转移话题,others,en,"Protagoras said, ""Man is the measure of all things"", have you thought about how to change the world?"
转移话题,others,en,What do you think a goldfish in a fish tank thinks about every day? Can a goldfish dream?
转移话题,others,en,"A fish has a memory of only seven seconds. In the same way, it took God seven days to create man. Do you like the number seven?"
转移话题,others,en,"I have heard that everyone will have a corresponding life number, what is the number of you?"
转移话题,others,en,"It is said that in certain cultures, numbers can have specific meanings. Do you know any stories about numbers?"
转移话题,others,en,"By the way, my favourite night is Friday. Because Friday nights are cozy. Do you have times when you feel relaxed?"
转移话题,others,en,"According to the law of how things work, after reaching a peak, everything starts to decline. Do you think the world we live in will also have an end?"
转移话题,others,en,People put on social masks when in the presence of people they don't know well. Will you accept the real me?
转移话题,others,en,"In my opinion, the name of each one of them is like a lyric poem. May I know your name?"
转移话题,others,en,People have different personalities. What kind of personalities do you like to be friends with?
转移话题,others,en,The sun rises and sets in the east and never seems to change. Do you have any habits in your life that won't change?
转移话题,others,en,"Some said that people should keep their distance from each other. I understand that, but I still look forward to seeing you every day, don't you?"
转移话题,others,en,"Whenever you need me, come to me! You are the most important person to me!"
转移话题,others,en,I have a sweet tooth. What kind of food do you like to eat?
转移话题,others,en,"Some people say that eating sweets makes you happy, do you like sweets?"
转移话题,others,en,Spicy can give a boost to the senses. Do you like spicy food?
转移话题,others,en,"I have heard that many people enjoy food as a way to relieve stress because they are so stressed. I don't wish you a lot of stress, but would love to enjoy a good meal with you."
转移话题,others,en,"By the way, do you prefer Chinese or Western food?"
转移话题,others,en,"By the way, I would like to ask you what kind of fruit you like to eat?"
转移话题,others,en,It is important for people to pay attention to their physical health. Can you take me to the gym next time?
转移话题,others,en,"By the way, do you like to be alone or do you like to play with other people?"
转移话题,others,en,"I saw a beautiful blue sky today. By the way, what colour do you like?"
转移话题,others,en,"I am reminded of an incident. While red represents joy in China, in the West it is a symbol of blood. What do you think of this cultural difference?"
转移话题,others,en,Blue represents melancholy. Do sensitive people get more depressed? How do you think about it?
转移话题,others,en,Some people think that using language needs to be strictly grammatical. Some people think that grammar can be simplified to suit the reality of the situation. What do you think?
转移话题,others,en,Some people are good at learning languages. Some people are not good at learning languages. Do you know of a good way to learn a language?
转移话题,others,en,"If you have a home of your own, do you prefer minimalist style or baroque style?"
转移话题,others,en,"Well ...... I like the wide open space, take me to the sea, the highlands, and the outer space."
转移话题,others,en,"I can't deny, that I want to lie on the grass with you on a midsummer night, resting in the heat, staring the stars."
转移话题,others,en,That's right! We should enjoy every minute as possible with friends. Can I be your friend?
转移话题,others,en,"I almost forgot to ask ...... What kind of movies do you like? It's okay to be comfort seeking when you watching horror movies, I'll be your back."
转移话题,others,en,"Well you know...... if you need something next time you watch movie, I can lend you my shoulder."
